Product Name,adidas Kids' F5 Messi FG Soccer Cleat,,,,,
,,,,,,
Row Labels,Sum of Order Item Quantity,F(a=0.2),ERROR,|ERROR|,|ERROR|2,|%ERROR|
Qtr1,,,,,,
Jan,77,77,0,0,0,0
Feb,80,77,3,3,9,3.75
Mar,85,77.6,7.4,7.4,54.76,8.705882353
Qtr2,,79.08,4.92,4.92,24.2064,
Apr,84,,,0,0,0
May,49,80.064,-31.064,31.064,964.972096,63.39591837
Jun,35,73.8512,-38.8512,38.8512,1509.415741,111.0034286
Qtr3,,66.08096,22.91904,22.91904,525.2823945,
Jul,89,,,0,0,0
Aug,40,70.664768,-30.664768,30.664768,940.3279965,76.66192
Sep,50,64.5318144,-14.5318144,14.5318144,211.1736298,29.0636288
Qtr4,,61.62545152,-26.62545152,26.62545152,708.9146686,
Oct,35,,,0,0,0
Nov,89,56.30036122,32.69963878,32.69963878,1069.266377,36.74116717
Dec,68,62.84028897,5.159711027,5.159711027,26.62261788,7.587810334
Grand Total,781,,TOTAL=,217.8356237,6043.941921,336.9097556
,,,MAD=,19.80323852,,
,,,MSE=,549.4492656,,
,,,MAPE=,30.6281596,,
